Date,Description,Debit,Credit,Balance
18/03/2024,UPI/GYM MEMBERSHIP,1200,,176394
19/03/2024,UPI/BOOKSTORE,480,,175914
20/03/2024,UPI/SWIGGY ORDER/BLR,500,,175414
21/03/2024,CARD/AMAZON PAY/ORDER 115-003,3000,,172414
22/03/2024,UPI/GROCERIES/DMART,2350,,170064
23/03/2024,UPI/PHONEPE TRANSFER,1400,,168664
24/03/2024,UPI/ZOMATO/ORDER,410,,168254
25/03/2024,CARD/FLIPKART/ORDER,2400,,165854
26/03/2024,UPI/MEDICAL CLINIC/CONSULT,980,,164874
27/03/2024,UPI/SWIGGY ORDER/BLR,500,,164374
28/03/2024,CARD/AMAZON PAY/ORDER 115-004,3000,,161374
29/03/2024,UPI/GROCERIES/DMART,1850,,159524
30/03/2024,UPI/UPI TRANSFER/FRIEND,1200,,158324
